feature,frequency,rank,docfreq,group
women,6128,1,728,all
with,4408,2,914,all
we,4250,3,623,all
have,4096,4,862,all
i,4060,5,485,all
by,4022,6,919,all
they,3667,7,766,all
this,3496,8,838,all
not,3479,9,790,all
at,3403,10,868,all
or,3092,11,765,all
from,3008,12,869,all
their,2881,13,771,all
were,2698,14,682,all
all,2677,15,795,all
who,2657,16,792,all
which,2576,17,776,all
has,2511,18,779,all
you,2497,19,431,all
an,2418,20,821,all
