feature,frequency,rank,docfreq,group
the,46137,1,1010,all
of,23756,2,997,all
and,20576,3,992,all
to,20188,4,989,all
a,14548,5,989,all
in,14120,6,986,all
is,8842,7,947,all
that,7969,8,898,all
for,7658,9,966,all
women,6128,10,728,all
it,6036,11,907,all
are,5524,12,887,all
as,5042,13,887,all
was,4877,14,778,all
with,4408,15,914,all
on,4272,16,894,all
we,4250,17,623,all
be,4107,18,831,all
have,4096,19,862,all
i,4060,20,485,all
