synonym,score
worked,0.8983277678489685
words,0.8690407872200012
working,0.8669221997261047
won,0.8629248738288879
would,0.8518534302711487
worst,0.8466882109642029
works,0.8422403931617737
wont,0.8415408134460449
wondered,0.8236716985702515
workers,0.8206005096435547
